worker_id,worker_name,role_name,work_type,gross_salary,pension_deduct,health_deduct,other_deductions,working_days,days_present,days_absent,days_present_ratio,checkin_time_std_dev,gps_boundary_score,device_shared_count,impossible_travel_count,peer_checkin_correlation,bank_change_velocity,completeness_score,deduction_ratio,login_to_checkin_gap,device_id,bank_account,verdict_label,is_ghost
W00362,Temitope Adebayo,Security Officer,ONSITE,120000,5697.97,2678.84,2423.19,22,11,11,0.5,10.179,0.258,2,0,0.852,0.26,0.6,0.09,127.851,DEV-63629,4960927949,SUSPICIOUS,0
W00074,Efe Eze,Operations Manager,ONSITE,450000,11254.42,2887.51,5658.07,22,9,13,0.409,9.303,0.165,1,1,0.704,0.441,0.376,0.044,62.857,DEV-45664,3752997210,SUSPICIOUS,0
W00375,Sadiq Usman,Accountant,HYBRID,280000,12801.39,5736.49,0.0,22,14,8,0.636,10.528,0.049,1,0,0.478,0.048,1.0,0.066,20.766,DEV-17143,3318702710,VERIFIED,0
W00156,Tunde Ogunleye,Operations Manager,ONSITE,450000,42757.74,20440.98,0.0,22,12,10,0.545,8.0,0.02,0,0,0.288,0.102,0.756,0.137,1.0,DEV-61705,9311275583,VERIFIED,0
W00105,Ngozi Okonkwo,HR Officer,HYBRID,250000,11803.89,5345.76,1350.35,22,15,7,0.682,26.022,0.088,1,0,0.592,0.307,0.841,0.074,6.56,DEV-66854,8184443748,VERIFIED,0
W00395,Efe Ogunleye,HR Officer,HYBRID,250000,17349.46,8717.73,2432.81,22,11,11,0.5,15.945,0.097,2,0,0.143,0.0,0.89,0.114,28.011,DEV-64330,5556540248,VERIFIED,0
W00378,Chukwuemeka Ogunleye,IT Admin,HYBRID,300000,8415.74,4023.36,4360.9,22,15,7,0.682,20.424,0.112,0,0,0.8,0.161,0.858,0.056,40.914,DEV-62835,3665874461,VERIFIED,0
W00125,Amina Okafor,Cleaner,ONSITE,90000,5149.44,1093.97,2126.59,22,14,8,0.636,17.12,0.192,0,0,0.198,0.091,0.902,0.093,32.621,DEV-99233,6016274435,VERIFIED,0
W00069,Ibrahim Usman,Engineer,HYBRID,320000,19029.74,4682.51,11807.75,22,16,6,0.727,13.935,0.094,0,1,0.463,0.0,0.75,0.111,16.61,DEV-44305,5412897900,VERIFIED,0
W00451,Efe Nwosu,Security Officer,ONSITE,120000,2951.76,1484.82,723.42,22,12,10,0.545,30.0,0.015,0,0,0.318,0.0,0.891,0.043,7.765,DEV-45192,6963697209,VERIFIED,0
W00010,Ibrahim Okafor,HR Officer,HYBRID,250000,8573.82,3814.58,861.6,22,10,12,0.455,5.355,0.504,0,1,0.756,0.61,0.71,0.053,57.836,DEV-26378,7375637336,SUSPICIOUS,0
W00195,Tunde Etuk,IT Admin,HYBRID,300000,15681.9,11468.55,7049.55,22,20,2,0.909,27.146,0.167,0,0,0.461,0.13,0.808,0.114,16.268,DEV-49402,1654967813,VERIFIED,0
W00407,Chukwuemeka Etuk,Customer Support,REMOTE,180000,14451.59,6737.05,2571.36,22,17,5,0.773,17.43,0.154,0,0,0.503,0.092,0.806,0.132,23.377,DEV-23576,4199679795,VERIFIED,0
W00085,Amina Adebayo,Security Officer,ONSITE,120000,411.61,103.96,204.43,22,6,16,0.273,9.851,0.476,3,1,0.879,0.389,0.423,0.006,130.175,DEV-18572,3852079544,SUSPICIOUS,0
W00372,Amina Eze,HR Officer,HYBRID,250000,12258.52,5487.71,6253.77,22,15,7,0.682,17.662,0.059,1,0,0.128,0.206,0.958,0.096,17.103,DEV-69664,0671178867,VERIFIED,0
W00389,Ngozi Ogunleye,Operations Manager,ONSITE,450000,16086.8,8798.49,6614.71,22,10,12,0.455,6.855,0.493,0,0,0.716,0.307,0.85,0.07,51.753,DEV-32822,6729058615,SUSPICIOUS,0
W00496,Amina Ogunleye,Customer Support,REMOTE,180000,14650.93,5864.38,904.69,22,20,2,0.909,17.303,0.202,0,0,0.216,0.0,0.778,0.119,8.219,DEV-61591,8547066247,VERIFIED,0
W00031,Ibrahim Okafor,IT Admin,HYBRID,300000,28528.96,17569.36,9701.68,22,15,7,0.682,26.58,0.279,1,0,0.677,0.098,0.962,0.186,27.625,DEV-95766,6205254420,VERIFIED,0
